specObjID,z,zErr,spectroSkyFlux_u,spectroSkyFlux_g,spectroSkyFlux_r,spectroSkyFlux_i,spectroSkyFlux_z
305260468467951616,0.04607654,5.961741E-06,10.27299,17.1872,41.63463,75.32693,138.1634
305260743345858560,0.09553487,2.106845E-05,10.60883,17.35756,42.14601,76.6581,142.0367
305261018223765504,0.06401441,1.77664E-05,10.73266,17.38282,42.37979,76.96042,141.6579
305261293101672448,0.06314032,1.855178E-05,10.36668,17.09867,42.02007,76.42687,140.727
305261567979579392,2.02492,0.0005744327,11.26826,17.53766,40.64281,73.23148,131.4614
305261842857486336,0.092938,1.01198E-05,10.58481,17.16517,41.71356,75.87861,139.5542
305262117735393280,1.137816,0.0003437996,11.40915,17.83381,41.43575,73.62615,136.0447
305262392613300224,0.3690907,0.0001979407,7.553709,14.37632,38.94455,73.33959,136.6591
305262667491207168,0.1153689,1.737374E-05,10.50527,17.08478,41.44431,75.41599,138.6351
305262942369114112,3.00284,0.0004099814,13.13961,17.86368,40.41666,72.88407,130.9334
305263217247021056,0.09821052,1.265941E-05,10.69904,17.25326,41.17265,74.05074,131.8545
305263492124928000,0.1881569,2.70437E-05,10.72964,17.10303,41.17667,75.0601,135.0061
305263767002834944,0.3527248,7.326264E-05,4.841326,14.56335,39.93288,73.92113,132.5682
305264041880741888,0.09790229,5.974469E-06,11.19921,17.65797,42.03936,75.86002,136.6116
305264316758648832,0.149692,1.000908E-05,10.53902,16.74734,40.4018,73.49007,134.2206
305264591636555776,0.1260241,1.111191E-05,11.35855,17.51984,41.00383,73.95513,133.8158
305264866514462720,0.09864391,1.171764E-05,10.9607,17.10645,40.48557,73.34384,131.9063
305265141392369664,1.741481,0.001138979,5.847119,13.17485,37.95081,70.44867,124.3041
305265416270276608,0.0765985,8.562952E-06,10.84508,17.28117,41.76266,75.49609,135.7886
305265691148183552,0.1468972,3.107156E-05,10.76024,17.06706,41.09015,74.93292,133.3065
305265966026090496,0.1483337,2.874957E-05,10.63843,16.85398,41.07503,75.17464,135.7885
305266240903997440,0.06324194,1.99252E-05,11.22553,17.53752,42.09237,75.91956,135.7385
305266515781904384,0.149102,2.441852E-05,10.89737,17.15568,41.71153,76.20371,137.2196
305266790659811328,0.1196299,1.852683E-05,11.09028,17.23869,41.53353,75.74463,136.3236
305267065537718272,2.802487,0.0005812037,7.939197,15.61201,40.02187,72.18724,128.4248
305267615293532160,0.1482346,3.12183E-05,10.35707,16.56098,41.09554,75.17925,135.2057
305267890171439104,0.09665794,2.822379E-05,10.63149,16.86694,40.59222,72.7559,130.6032
305268165049346048,0.09665108,1.300262E-05,11.53511,17.5969,41.93866,75.60735,135.3184
305268439927252992,0.09524804,2.269874E-05,11.22854,17.47137,42.01317,76.19186,137.2922
305268714805159936,0.1476748,2.986989E-05,11.09476,17.30632,41.23926,75.07307,134.4945
305268989683066880,0.09581185,1.891404E-05,11.61595,17.66409,42.41156,74.81467,137.5134
305269264560973824,0.0967497,2.102264E-05,11.63315,17.59707,42.46838,76.56292,136.6211
305269539438880768,0.05873925,3.680915E-06,11.79869,17.82534,42.40699,76.19456,135.4796
305270089194694656,0.06404451,1.174448E-05,11.49301,17.33821,41.64948,73.80997,136.0438
305270364072601600,1.454275,0.0004419135,11.62148,17.39681,40.77354,73.09242,133.8454
305270638950508544,0.1133924,1.484858E-05,11.13241,16.96985,40.41406,72.99696,130.7827
305270913828415488,0.4628324,4.809404E-05,11.64768,17.35437,40.73215,72.95392,131.6362
305271188706322432,4.17196,0.0003901648,2.827302,8.16426,31.61804,66.31911,126.5162
305271463584229376,0.09606256,2.011922E-05,11.1579,16.97911,41.28365,75.39383,136.6883
305271738462136320,0.09665173,6.270307E-06,11.73151,17.34309,41.28791,74.3323,134.7463
305272013340043264,4.407934,0.001171617,11.57117,17.47615,41.55808,73.84542,131.7622
305272288217950208,0.0533902,1.273554E-05,11.69732,17.75974,43.46788,79.3606,142.02
305273112851671040,0.07774104,9.345305E-06,12.05607,17.76412,41.51779,73.81321,130.9707
305273387729577984,0.06648135,1.804924E-05,12.11468,17.72322,41.79694,75.07402,134.4672
305273662607484928,0.2073885,3.607833E-05,11.90242,17.53244,41.59256,74.46627,133.0058
305273937485391872,0.4849017,8.911351E-05,2.56541,3.849765,14.88857,42.00167,95.50147
305274212363298816,0.07398162,1.738209E-05,11.52507,17.04074,40.25089,73.38255,130.0986
305274487241205760,0.4101673,1.128258E-05,7.983138,15.5745,39.09736,66.8184,107.7521
305274762119112704,0.4615036,7.120733E-05,9.894279,15.90131,40.23973,74.63004,135.0015
305275036997019648,0.0645521,1.939115E-05,11.43905,17.35408,42.19434,76.50354,135.9339
305275311874926592,2.469401,0.0003478497,10.26445,16.21341,38.79885,68.61555,117.1996
305275586752833536,0.05314948,1.431314E-05,12.40499,18.12919,43.3757,73.52673,135.9412
305275861630740480,0.1504571,3.343958E-05,11.61395,17.22993,41.85601,75.8329,136.2631
305276136508647424,0.07827315,7.16003E-06,12.17307,17.72474,41.71992,74.35925,132.9849
305276411386554368,0.2206051,5.400809E-05,10.51223,16.30368,40.50722,73.41621,132.6953
305276961142368256,0.5177249,0.0002726304,12.40612,17.66199,40.73442,73.29392,132.5098
305277236020275200,0.09386507,1.914174E-05,12.04703,17.91192,43.45501,77.99801,138.2221
305277785776089088,0.07096665,6.797231E-06,11.86399,17.37066,41.21759,73.92212,133.1636
305278060653996032,1.205194,3.645485,12.60361,17.77403,40.60831,72.081,131.5292
305278335531902976,0.07835449,1.733382E-05,12.38113,17.81881,42.16516,75.53183,135.0407
305278610409809920,0.1134097,4.015815E-05,12.18847,17.75467,42.47408,76.74852,136.9274
305278885287716864,6.485187,0.0009369861,12.42361,17.6995,40.82596,73.25768,134.4347
305279160165623808,0.02148222,9.693471E-06,12.93455,18.61085,44.28793,74.83973,134.7131
305279709921437696,0.307928,6.002903E-05,10.62218,16.42005,40.62189,75.30836,138.4261
305279984799344640,0.02134296,9.40201E-06,12.43322,18.19867,43.87712,79.91248,146.4243
305280259677251584,0.07153392,2.470189E-05,12.08834,17.6795,41.74374,75.39978,134.8596
305280534555158528,0.0540349,1.441427E-05,12.23039,17.77763,42.8068,77.28671,144.1853
305280809433065472,0.09648157,2.34191E-05,12.15833,17.675,41.53234,75.31294,140.9536
305281084310972416,0.3042306,6.107029E-05,9.467268,15.436,39.9298,74.89243,137.9573
305281359188879360,0.1121394,2.151462E-05,11.87449,17.51363,41.88316,75.59908,142.0214
305281634066786304,0.1116021,1.134592E-05,11.5782,17.3337,41.58261,74.81322,139.4432
305281908944693248,0.09462989,1.824825E-05,12.00655,17.78181,42.85653,77.55063,144.5135
305282183822600192,0.09524669,2.428324E-05,12.16215,17.59892,41.84564,75.12399,141.5517
305282458700507136,0.05703671,5.685172E-06,11.86444,17.42783,41.26787,73.60532,138.8319
305282733578414080,0.07864722,8.751922E-06,11.94335,17.47321,41.27345,74.11693,139.5274
305283008456321024,0.07224173,9.319614E-06,12.07227,17.64726,41.93743,75.45013,140.7489
305283833090041856,0.0785201,1.935538E-05,11.59126,17.34316,41.71952,75.25231,138.175
305284107967948800,5.576595,0.001574462,3.88233,5.414833,11.89047,23.03689,37.63184
305284382845855744,0.1254482,3.027417E-05,12.09681,17.70708,41.87674,75.07274,134.4445
