SpecObjID,z,zErr,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z
299609249334454272,0.03669919,1.026237E-05,19.19516,17.52995,16.69637,16.2232,15.81945
299609523742599168,0.122207,1.676894E-05,19.67409,18.59787,17.72881,17.26762,16.94715
299609524212361216,0.1207068,3.379213E-05,21.11125,19.00415,17.88824,17.42086,17.02119
299609798620506112,0.02494532,4.680348E-06,18.37928,17.32412,17.39832,17.55993,17.59596
299609799090268160,0.02492348,4.850147E-06,18.37928,17.32412,17.39832,17.55993,17.59596
299610073498413056,0.02524963,1.521498E-05,17.18512,15.4146,14.50861,14.03559,13.60493
299610073968175104,0.123279,1.453566E-05,20.40404,18.79976,17.83171,17.31929,17.01769
299610348376320000,0.1232731,1.555748E-05,20.40404,18.79976,17.83171,17.31929,17.01769
299610348846082048,0.125227,2.163934E-05,19.8842,17.80164,16.6388,16.17031,15.77341
299610623254226944,0.1608339,0.0001079066,21.24202,19.12567,17.69697,17.10242,16.64946
299610623723988992,0.4064635,0.0001675595,24.79514,21.46976,19.56173,18.78727,18.2922
299610898601895936,0.1224251,3.078463E-05,20.65232,18.34098,17.14781,16.63084,16.18617
299611173010040832,0.006342039,1.186613E-05,19.81465,18.36332,17.91707,17.67546,17.51627
299611173479802880,0.1436299,1.978826E-05,19.93602,18.41666,17.41615,16.92716,16.55748
299611447887947776,0.120363,5.371698E-05,20.58982,18.4716,17.29002,16.77449,16.369
299611448357709824,0.4286148,0.0001954112,26.65369,21.86424,19.79276,18.97207,18.48417
299611722765854720,0.1224818,4.420204E-05,20.65232,18.34098,17.14781,16.63084,16.18617
299611997643761664,0.2834807,0.000118097,22.14656,20.49657,18.81426,18.16179,17.67251
299611998113523712,0.283498,0.0001078504,22.14656,20.49657,18.81426,18.16179,17.67251
299612272521668608,0.2418186,0.000117293,21.91868,19.53083,17.89731,17.2935,16.88371
299612272991430656,0.1201322,3.696463E-05,21.26391,18.79593,17.56695,17.04184,16.61007
299612547399575552,0.1231523,3.808988E-05,20.19045,17.96164,16.77025,16.25914,15.80301
299612547869337600,0.12037,3.929839E-05,20.58982,18.4716,17.29002,16.77449,16.369
299612822277482496,0.143772,1.977995E-05,19.93602,18.41666,17.41615,16.92716,16.55748
299612822747244544,0.2418427,6.208525E-05,21.91868,19.53083,17.89731,17.2935,16.88371
299613097625151488,0.006355164,8.783356E-06,19.81465,18.36332,17.91707,17.67546,17.51627
299613372033296384,0.1201727,5.35774E-05,21.26391,18.79593,17.56695,17.04184,16.61007
299613372503058432,0.437159,0.00015638,23.93477,21.64069,19.52182,18.75144,18.31025
299613646911203328,0.1221876,3.662082E-05,19.42746,17.4049,16.26287,15.77731,15.36279
299613921789110272,0.9735537,0.2470977,26.65369,21.86424,19.79276,18.97207,18.48417
299613922258872320,0.1200819,3.612549E-05,19.69008,17.9573,16.96652,16.48567,16.11201
299614196667017216,0.1222266,3.055307E-05,19.88457,17.60653,16.44622,15.95073,15.53666
299614197136779264,0.1222711,2.469182E-05,19.88457,17.60653,16.44622,15.95073,15.53666
299614471544924160,0.1200918,5.165095E-05,19.69008,17.9573,16.96652,16.48567,16.11201
299614472014686208,0.3634873,0.08145979,null,null,null,null,null
299614746892593152,0.1221189,2.821351E-05,19.42746,17.4049,16.26287,15.77731,15.36279
299615021300738048,0.124128,2.134894E-05,21.21679,19.12347,18.00483,17.45256,17.0149
299615021770500096,0.1241094,1.846848E-05,21.21679,19.12347,18.00483,17.45256,17.0149
299615296648407040,0.1224185,2.538108E-05,20.5113,17.83249,16.84359,16.36915,16.02062
299615571526313984,0.1608769,5.932151E-05,21.24202,19.12567,17.69697,17.10242,16.64946
299615845934458880,0.1223529,3.736114E-05,20.5113,17.83249,16.84359,16.36915,16.02062
299615846404220928,0.1232023,2.772975E-05,20.19045,17.96164,16.77025,16.25914,15.80301
299616120812365824,0.1236259,4.382498E-05,21.55523,19.41308,18.34801,17.57469,22.82693
299616121282127872,0.03617733,1.049125E-05,17.42038,15.34673,14.35569,13.86735,13.51059
299616395690272768,0.03615803,1.215381E-05,17.42038,15.34673,14.35569,13.86735,13.51059
299616670568179712,0.03037806,1.500155E-05,17.63341,15.93448,15.11038,14.69231,14.36217
299616671037941760,0.1436527,1.275432E-05,20.45821,18.64343,17.56185,17.02582,16.63681
299616945446086656,0.08010525,6.089709E-06,18.74419,17.50309,16.87667,16.43441,16.20806
299616945915848704,0.03047678,1.29838E-05,18.33369,16.97861,16.34924,16.03208,15.85286
